Canción,Catálogo,Período,Nodos,Vistas,Yield/mes,Auditada
"Loco de Amor",RO-01,1983-1990,1850,78000000,3120,Sí
"La Temperatura",RO-01,1983-1990,1200,58000000,2320,Sí
"Tonto Corazón",RO-01,1983-1990,950,52000000,2080,Sí
"Dos Sonámbulos",RO-01,1983-1990,880,49000000,1960,Sí
"El Baile del Suá Suá",RO-01,1983-1990,640,34000000,1360,Sí
"El Juicio",RO-01,1983-1990,22,2900000,116,No
"No Matarás",RO-01,1983-1990,30,3500000,140,No
"Pagando Mi Ley",RO-01,1983-1990,37,4100000,164,No
"Te Invito a Bailar",RO-01,1983-1990,45,4700000,188,No
"Micharén",RO-01,1983-1990,53,5200000,208,No
"Sisi y Ricardo",RO-01,1983-1990,61,5800000,232,No
"Mentirosa",RO-01,1983-1990,69,6400000,256,No
"La Temperatura",RO-01,1983-1990,77,7000000,280,No
"Un Rincón del Alma",RO-01,1983-1990,85,7600000,304,No
"Sinfonía en Merengue (Instrumental)",RO-01,1983-1990,21,8200000,328,No
"Tonto Corazón",RO-01,1983-1990,24,3400000,136,No
"Weo",RO-01,1983-1990,33,4100000,164,No
"Fiebre",RO-01,1983-1990,42,4700000,188,No
"Tú Posesión",RO-01,1983-1990,50,5400000,216,No
"Al Son de los Tambores",RO-01,1983-1990,59,6100000,244,No
"Bailando Contigo",RO-01,1983-1990,68,6800000,272,No
"La Orquesta de Moda",RO-01,1983-1990,77,7500000,300,No
"Por un Pedazo de Tu Amor",RO-01,1983-1990,86,8200000,328,No
"A Ritmo de Piano",RO-01,1983-1990,94,8900000,356,No
"Vuelve",RO-01,1983-1990,23,9500000,380,No
"Loco de Amor",RO-01,1983-1990,23,3100000,124,No
"Mar de Amores",RO-01,1983-1990,31,3800000,152,No
"Qué Ironía",RO-01,1983-1990,40,4400000,176,No
"Gotas de Fuego",RO-01,1983-1990,48,5000000,200,No
"Me Enamoré",RO-01,1983-1990,56,5700000,228,No
"El Piano Mágico",RO-01,1983-1990,65,6300000,252,No
"Noche de Luna",RO-01,1983-1990,73,7000000,280,No
"No Puedo Olvidarte",RO-01,1983-1990,81,7600000,304,No
"Baila Mi Merengue",RO-01,1983-1990,90,8200000,328,No
"Es Tarde Ya",RO-01,1983-1990,22,8900000,356,No
"Dos Sonámbulos",RO-01,1983-1990,20,2700000,108,No
"Amor de Conuco",RO-01,1983-1990,28,3200000,128,No
"El Baile del Suá Suá",RO-01,1983-1990,35,3700000,148,No
"Cariño Lindo",RO-01,1983-1990,43,4300000,172,No
"El Ritmo de la Noche",RO-01,1983-1990,50,4800000,192,No
"Te Quiero Te Quiero",RO-01,1983-1990,58,5300000,212,No
"Esencia Dominicana",RO-01,1983-1990,65,5900000,236,No
"Juntos de Nuevo",RO-01,1983-1990,73,6400000,256,No
"Piano Sincopado",RO-01,1983-1990,80,7000000,280,No
"Unión Eterna",RO-01,1983-1990,20,7500000,300,No
"El Hijo de la Mazurca",RO-01,1983-1990,19,2400000,96,No
"Raza Latina",RO-01,1983-1990,26,2900000,116,No
"Herencia de Sangre",RO-01,1983-1990,33,3400000,136,No
"El Merengazo",RO-01,1983-1990,40,3900000,156,No
"Nostalgia de Cuco",RO-01,1983-1990,47,4400000,176,No
"Baila Mi Pueblo",RO-01,1983-1990,54,4900000,196,No
"Sabor Antillano",RO-01,1983-1990,61,5400000,216,No
"Te Extraño",RO-01,1983-1990,68,5800000,232,No
"El Son del Piano",RO-01,1983-1990,76,6300000,252,No
"Tambores y Güira",RO-01,1983-1990,19,6800000,272,No
"Un Canto al Caribe",RO-01,1983-1990,26,7300000,292,No
"Te Compro Tu Novia",RO-02,1990-1997,2100,85000000,3400,Sí
"Ring... Ring (El Teléfono)",RO-02,1990-1997,1700,72000000,2880,Sí
"Noche de Bodas",RO-02,1990-1997,820,46000000,1840,Sí
"Cabecita Loca",RO-02,1990-1997,780,43000000,1720,Sí
"Esa Muchacha",RO-02,1990-1997,720,39000000,1560,Sí
"América Sin Queja",RO-02,1990-1997,600,32000000,1280,Sí
"Noche de Bodas",RO-02,1990-1997,29,3900000,156,No
"Solo Ganar",RO-02,1990-1997,39,4600000,184,No
"El Rompecorazones",RO-02,1990-1997,50,5400000,216,No
"Dime Que Sí",RO-02,1990-1997,60,6200000,248,No
"A Fuego Lento",RO-02,1990-1997,71,7000000,280,No
"La Dueña de Mi Piano",RO-02,1990-1997,82,7800000,312,No
"Merengue Caliente",RO-02,1990-1997,92,8600000,344,No
"Falso Amor",RO-02,1990-1997,103,9300000,372,No
"Para Siempre",RO-02,1990-1997,113,10100000,404,No
"Ritmo Violento",RO-02,1990-1997,28,10900000,436,No
"Ring... Ring (El Teléfono)",RO-02,1990-1997,43,5800000,232,No
"Cabecita Loca",RO-02,1990-1997,59,7000000,280,No
"Doy",RO-02,1990-1997,75,8100000,324,No
"Que Vuelva el Amor",RO-02,1990-1997,91,9300000,372,No
"La Chica de la Foto",RO-02,1990-1997,107,10500000,420,No
"Te Vas Conmigo",RO-02,1990-1997,122,11700000,468,No
"Un Toque de Piano",RO-02,1990-1997,138,12800000,512,No
"Corazón de Piedra",RO-02,1990-1997,154,14000000,560,No
"Ritmo de la Calle",RO-02,1990-1997,170,15200000,608,No
"Llamada Perdida",RO-02,1990-1997,42,16400000,656,No
"El Hombre de la Noche",RO-02,1990-1997,31,4300000,172,No
"Todos a Bailar",RO-02,1990-1997,43,5200000,208,No
