canal,titulo,url,fecha,vistas,vph,usd
Ramón Orlando Oficial,Ramón Orlando – No Hay Nadie Más,https://www.youtube.com/watch?v=lhytk5utcmo&list=RDlhytk5utcmo&start_radio=1&pp=ygUgbm8gaGF5IG5hZGllIG1hcyAtIHJhbW9uIG9ybGFuZG-gBwE%3D,hace 4 m,240000.0,27.4,833.31
Berna Marie,Ramon Orlando - No hay nadie mas,https://www.youtube.com/watch?v=QRnohrUZDFY&list=RDQRnohrUZDFY&start_radio=1&pp=ygUgbm8gaGF5IG5hZGllIG1hcyAtIHJhbW9uIG9ybGFuZG-gBwE%3D,hace 14 a,10000000.0,1141.55,34721.06
Ramón Orlando - Topic,No Hay Nadie Más,https://www.youtube.com/watch?v=7iNHdpychlo&list=RD7iNHdpychlo&start_radio=1&pp=ygUgbm8gaGF5IG5hZGllIG1hcyAtIHJhbW9uIG9ybGFuZG-gBwE%3D,---,6100.0,0.7,21.18
Terremoto Musical,Ramón Orlando - No Hay Nadie Más - REMASTERIZADO - PARA MUSICOLOGOS,https://www.youtube.com/watch?v=_8DeocHcrrQ&list=RD_8DeocHcrrQ&start_radio=1&pp=ygUgbm8gaGF5IG5hZGllIG1hcyAtIHJhbW9uIG9ybGFuZG-gBwE%3D,hace 2 a,37000.0,4.22,128.47
ChipeomundialATL,No hay nadie más ramon Orlando remasterizado en vivo para musicólogos,https://www.youtube.com/watch?v=p3JiweLTwuo&list=RDp3JiweLTwuo&start_radio=1&pp=ygUgbm8gaGF5IG5hZGllIG1hcyAtIHJhbW9uIG9ybGFuZG-gBwE%3D,hace 2 sem.,2400.0,7.14,8.33
Ramón Orlando - Topic,No Hay Nadie Más,https://www.youtube.com/watch?v=rIkcWxoVrvc&list=RDrIkcWxoVrvc&start_radio=1&pp=ygUgbm8gaGF5IG5hZGllIG1hcyAtIHJhbW9uIG9ybGFuZG-gBwE%3D,---,26000.0,2.97,90.27
Yury Eduardo Calderón,No hay nadie más interpretado por Ramón Orlando,https://www.youtube.com/watch?v=IqfLCSV77tw&list=RDIqfLCSV77tw&start_radio=1&pp=ygUgbm8gaGF5IG5hZGllIG1hcyAtIHJhbW9uIG9ybGFuZG-gBwE%3D,hace 6 a,52000.0,5.94,180.55
Chamakiito93,RAMON ORLANDO Y LA INTERNACIONAL - No Hay Nadie Mas (90's),https://www.youtube.com/watch?v=A-Jiq-osn_Q&list=RDA-Jiq-osn_Q&start_radio=1&pp=ygUgbm8gaGF5IG5hZGllIG1hcyAtIHJhbW9uIG9ybGFuZG-gBwE%3D,hace 5 a,42000.0,4.79,145.83
Anthony Ventura,Ramón Orlando No Hay Nadie Más Letras,https://www.youtube.com/watch?v=3g9gvbOA5cU&list=RD3g9gvbOA5cU&start_radio=1&pp=ygUgbm8gaGF5IG5hZGllIG1hcyAtIHJhbW9uIG9ybGFuZG-gBwHSBwkJAwsBhyohjO8%3D,hace 1 a,5300.0,0.61,18.4
El Pilo Tv RD,El Sujeto Oro 24 - No Hay Nadie Mas Para Sustituirte ( EN VIVO ) ￼,https://www.youtube.com/watch?v=oP1E1xkjvyU&list=RDoP1E1xkjvyU&start_radio=1&pp=ygUgbm8gaGF5IG5hZGllIG1hcyAtIHJhbW9uIG9ybGFuZG-gBwE%3D,hace 5 m,24000.0,2.74,83.33
Merengue y Memorias,Ramon Orlando - No Hay Nadie Mas (En Vivo),https://www.youtube.com/watch?v=sZ99Ddpt8Do&list=RDsZ99Ddpt8Do&start_radio=1&pp=ygUgbm8gaGF5IG5hZGllIG1hcyAtIHJhbW9uIG9ybGFuZG-gBwE%3D,hace 1 a,740.0,0.08,2.57
Ramón Orlando - Topic,Mas,https://www.youtube.com/watch?v=-X7CPJn4AAc&list=RD-X7CPJn4AAc&start_radio=1&pp=ygUgbm8gaGF5IG5hZGllIG1hcyAtIHJhbW9uIG9ybGFuZG-gBwE%3D,---,3500000.0,399.54,12152.37
